timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,Time,Pressure_self_corrected,Pressure_self
1760493600,11.24,10.9,1032,95,10.47,,75,4000,2.06,30,300,Drizzle,light intensity drizzle,2025-10-15 03:00:00+01:00,1032.0,
1760500800,11.84,11.48,1032,92,10.58,,75,5000,2.57,40,300,Drizzle,light intensity drizzle,2025-10-15 05:00:00+01:00,1032.0,
1760508000,11.11,10.76,1032,95,10.34,,75,10000,2.57,40,300,Drizzle,light intensity drizzle,2025-10-15 07:00:00+01:00,1032.0,
1760515200,10.64,10.16,1032,92,9.4,,75,10000,3.09,30,803,Clouds,broken clouds,2025-10-15 09:00:00+01:00,1032.2650384560613,1029.330247358209
1760522400,12.04,11.57,1032,87,9.95,,75,10000,3.58,20,803,Clouds,broken clouds,2025-10-15 11:00:00+01:00,1032.0,
1760529600,11.58,11.07,1032,87,9.49,,75,10000,2.57,30,803,Clouds,broken clouds,2025-10-15 13:00:00+01:00,1032.0,
1760536800,12.64,12.07,1031,81,9.47,,100,10000,3.09,60,804,Clouds,overcast clouds,2025-10-15 15:00:00+01:00,1031.0,
1760544000,12.25,11.7,1030,83,9.45,,100,10000,4.12,80,804,Clouds,overcast clouds,2025-10-15 17:00:00+01:00,1030.6308792018742,1027.6887399741377
1760551200,11.53,11.01,1031,87,9.44,,100,10000,3.6,90,804,Clouds,overcast clouds,2025-10-15 19:00:00+01:00,1031.0,
1760558400,11.55,10.95,1030,84,8.94,,100,10000,3.6,90,804,Clouds,overcast clouds,2025-10-15 21:00:00+01:00,1030.0,
1760565600,10.64,10.01,1031,86,8.4,,100,10000,4.12,90,804,Clouds,overcast clouds,2025-10-15 23:00:00+01:00,1031.0,
1760572800,10.9,10.21,1030,83,8.13,,100,10000,3.6,100,804,Clouds,overcast clouds,2025-10-16 01:00:00+01:00,1030.0,
1760580000,10.9,10.24,1029,84,8.31,,100,10000,2.06,150,804,Clouds,overcast clouds,2025-10-16 03:00:00+01:00,1029.0,
1760587200,10.69,10.03,1029,85,8.27,,100,10000,1.54,90,804,Clouds,overcast clouds,2025-10-16 05:00:00+01:00,1029.0,
